Бравлер,metric.pickRate,Винрейт
STU,0.0386055084802147,0.5374805163396141
RICO,0.03371056177640793,0.4937535098001799
SURGE,0.030012958941688143,0.5217285335658751
PIPER,0.028851528404504834,0.5039311341235947
GENE,0.028417370407458623,0.5031626862524691
GUS,0.02661269791021167,0.5330470923310248
COLT,0.024686464114494495,0.47937922511093245
BROCK,0.023948494768232558,0.5303213794543088
PENNY,0.023716032218633012,0.5334612046250659
LOU,0.02129568684927303,0.5293845022577571
GRAY,0.018808550769504707,0.5326887184247814
MORTIS,0.018723343908345354,0.5179697147580185
JUJU,0.017958356855891817,0.5743317927073397
CARL,0.017811909860698177,0.5505848580780168
MAISIE,0.01774758198881342,0.5426138952635808
MANDY,0.017490049948570785,0.5122980794693636
SPIKE,0.0170976866888577,0.5116160573772607
LEON,0.017000496464135813,0.5183237186694574
MELODIE,0.01639294728327223,0.5435173558166652
BELLE,0.01586075360947365,0.5012260071103777
DYNAMIKE,0.015467802209217618,0.4948751402117911
TARA,0.015415310665759656,0.5610567430680745
NITA,0.015113079944253099,0.5702044549085231
COLETTE,0.014767253305000642,0.5005974102266674
MAX,0.014554897810213074,0.5173592081968497
ANGELO,0.014327066867389231,0.5585490007927976
JANET,0.014222083780473307,0.537124292135238
BIBI,0.014120592778031127,0.564917400336334
JESSIE,0.01401682273098503,0.5345524351002704
BEA,0.01393624747660138,0.528138328317424
HANK,0.01339475383046746,0.5711904082371925
MR. P,0.01325036532717413,0.6138755728663848
SANDY,0.013018601194469332,0.5528612531517973
BARLEY,0.012179728986308161,0.5242574137899814
FRANK,0.011563100385812845,0.5601668325030915
DARRYL,0.011112842041403477,0.5428257662461382
NANI,0.011080310517621757,0.5359831206271377
BYRON,0.011002087825409892,0.49214847730575834
GALE,0.010919527596693797,0.5041405915996485
BUZZ,0.01064876239423487,0.5195638141066578
LARRY & LAWRIE,0.010482318620581053,0.5279084039065103
SQUEAK,0.010283490358281251,0.5164232402522198
FANG,0.010238938712153063,0.49269235740134415
BUSTER,0.010192732920747842,0.5660038155412984
SPROUT,0.010044117157302085,0.5265861281492
GRIFF,0.009891899033030782,0.5173205055313393
BERRY,0.009661862563170889,0.500540242348152
TICK,0.009371835757930469,0.5252750485379772
JACKY,0.009282217842699019,0.5998012015032651
KENJI,0.009251671293249742,0.5522178428677003
CORDELIUS,0.008870445945068703,0.4904792491142283
PEARL,0.008538771437630894,0.5409032596903897
OLLIE,0.008373026080871824,0.6194294569831814
EDGAR,0.008292450826488175,0.5207189116587098
GROM,0.008064105260689252,0.5762584385925726
CHESTER,0.00800293864422283,0.5113680729393932
CROW,0.00798617663874886,0.49644433602290355
POCO,0.007701332822043155,0.5377666937139038
EMZ,0.007651892257651727,0.508281891768549
EVE,0.007625646485922745,0.5831618068845174
ASH,0.007465598740673469,0.5471843503350615
R-T,0.006887309551821467,0.5496971152563179
AMBER,0.006730753891045935,0.5240052210195187
BO,0.006289354413564697,0.5497872564261418
SHELLY,0.006119896419628279,0.5321134255922348
MICO,0.005920847604624873,0.5334134212437839
OTIS,0.005740913357267223,0.5221349998079114
8-BIT,0.005654787526509516,0.5172977540871713
EL PRIMO,0.005196993631393648,0.5331232626732022
KIT,0.0047993003480101114,0.5140278182013143
MEEPLE,0.004484828951453483,0.5172490103026876
ROSA,0.0037262379274044894,0.549960540593864
LILY,0.00360596318637196,0.5245366878019939
BULL,0.0034498853897875718,0.5178419213229339
SHADE,0.0032032339495894446,0.5169206582359827
CHUCK,0.0026893461501900687,0.5614731691315163
DRACO,0.0024344607423906926,0.5524325058887479
RUFFS,0.0022074017340294664,0.5012322858903265
CHARLIE,0.002060366598292878,0.5261458314749068
LOLA,0.0020012217149428355,0.5351107600749422
CLANCY,0.001994935962890096,0.49002229551694276
MEG,0.0014822244445766126,0.5036827616992783
DOUG,0.0014306518707170044,0.5651079136690648
MOE,0.001327580240565656,0.473432827555654
SAM,0.0011745901818317357,0.53817988358265
WILLOW,0.001093867892312349,0.5032932320720479
FINX,0.0008547887616046562,0.4649522662767696
BONNIE,0.0006229878701159247,0.5287939579891433
LUMI,0.0004072138084224814,0.502256725040621
PAM,0.0002743675632844738,0.5126607717041801
