brawler1,brawler2,brawler3,picks,wr,map
MEEPLE,MELODIE,PIPER,9,0.222222222,hockey_below_zero
COLETTE,GRAY,STU,9,0.111111111,hockey_below_zero
JANET,LOU,MEEPLE,9,0.333333333,hockey_below_zero
FRANK,GUS,LOU,9,0.111111111,hockey_below_zero
COLETTE,MELODIE,MR. P,9,0.333333333,hockey_below_zero
BUSTER,MELODIE,MR. P,9,0.555555556,hockey_below_zero
BYRON,MELODIE,STU,9,0.333333333,hockey_below_zero
GUS,MAX,MR. P,9,0.666666667,hockey_below_zero
BEA,FRANK,MEG,9,0.333333333,hockey_below_zero
BELLE,FRANK,LEON,9,0.666666667,hockey_below_zero
BELLE,SQUEAK,STU,9,0.277777778,hockey_below_zero
LOU,MORTIS,OLLIE,9,0.111111111,hockey_below_zero
BELLE,MELODIE,MORTIS,9,0.444444444,hockey_below_zero
GRAY,LEON,OLLIE,9,0.444444444,hockey_below_zero
GUS,LOU,OLLIE,9,0.555555556,hockey_below_zero
MAX,MEEPLE,MORTIS,9,0.5,hockey_below_zero
GENE,GRAY,STU,9,0.666666667,hockey_below_zero
COLETTE,GUS,STU,9,0.333333333,hockey_below_zero
JANET,MEEPLE,SQUEAK,9,0.888888889,hockey_below_zero
BEA,FRANK,OLLIE,9,0.111111111,hockey_below_zero
LOU,MAX,OLLIE,9,0.555555556,hockey_below_zero
GUS,PIPER,STU,9,0.888888889,hockey_below_zero
CHESTER,GRAY,OLLIE,9,0.444444444,hockey_below_zero
BEA,CHARLIE,MEEPLE,9,0.888888889,hockey_below_zero
CHESTER,MELODIE,MR. P,9,0.666666667,hockey_below_zero
CARL,MEEPLE,MORTIS,9,0.277777778,hockey_below_zero
FRANK,LOU,MAX,9,0.444444444,hockey_below_zero
BEA,MELODIE,MOE,9,0.777777778,hockey_below_zero
BUSTER,MAX,MR. P,9,0.444444444,hockey_below_zero
GRAY,OLLIE,OTIS,9,0.666666667,hockey_below_zero
CARL,COLETTE,STU,9,0.777777778,hockey_below_zero
JANET,LOU,POCO,9,0.333333333,hockey_below_zero
JACKY,MAX,POCO,9,0.444444444,hockey_below_zero
FRANK,JANET,STU,9,0.333333333,hockey_below_zero
LOLA,MAX,MELODIE,9,0.888888889,hockey_below_zero
GRAY,GUS,MAISIE,9,0.333333333,hockey_below_zero
BEA,FANG,MELODIE,9,0.555555556,hockey_below_zero
GRAY,LEON,MR. P,9,0.666666667,hockey_below_zero
CARL,FRANK,GRAY,9,0.666666667,hockey_below_zero
GUS,KENJI,STU,9,0.333333333,hockey_below_zero
BELLE,FRANK,STU,9,0.333333333,hockey_below_zero
CHARLIE,GRAY,MEEPLE,9,0.333333333,hockey_below_zero
BEA,LEON,OLLIE,9,0.555555556,hockey_below_zero
CHARLIE,MEEPLE,MELODIE,9,0.888888889,hockey_below_zero
AMBER,BELLE,MELODIE,9,0.444444444,hockey_below_zero
GUS,LOU,MELODIE,9,0.333333333,hockey_below_zero
CHESTER,GRAY,PIPER,9,0.555555556,hockey_below_zero
BELLE,GRAY,POCO,9,0.777777778,hockey_below_zero
GENE,LEON,MR. P,9,0.722222222,hockey_below_zero
JANET,OLLIE,SQUEAK,9,0.333333333,hockey_below_zero
GRAY,MEEPLE,PENNY,9,0.555555556,hockey_below_zero
GRAY,MORTIS,MR. P,9,0.444444444,hockey_below_zero
GRAY,MELODIE,OTIS,9,0.777777778,hockey_below_zero
BEA,GUS,LOU,9,0.166666667,hockey_below_zero
BEA,BELLE,GUS,9,0.611111111,hockey_below_zero
BELLE,CHARLIE,MAX,9,0.944444444,hockey_below_zero
HANK,LOU,MAX,9,0.555555556,hockey_below_zero
JANET,LEON,OLLIE,9,0.388888889,hockey_below_zero
BUSTER,MR. P,STU,9,0.944444444,hockey_below_zero
CARL,MAISIE,MAX,9,0.611111111,hockey_below_zero
MELODIE,PIPER,STU,9,0.722222222,hockey_below_zero
BELLE,CHESTER,STU,9,0.333333333,hockey_below_zero
CHARLIE,LEON,STU,9,0.777777778,hockey_below_zero
GRAY,MAX,TARA,9,0.777777778,hockey_below_zero
BYRON,HANK,POCO,9,0.111111111,hockey_below_zero
MAX,MR. P,OLLIE,9,0.333333333,hockey_below_zero
BEA,CHESTER,TARA,9,0.722222222,hockey_below_zero
CHARLIE,JANET,MELODIE,9,0.777777778,hockey_below_zero
CARL,GRAY,LEON,9,0.444444444,hockey_below_zero
LOU,PENNY,POCO,9,0.333333333,hockey_below_zero
JANET,MELODIE,SPIKE,9,0.666666667,hockey_below_zero
BEA,GUS,MEEPLE,9,0.333333333,hockey_below_zero
BEA,CARL,GUS,9,0.277777778,hockey_below_zero
CARL,CHARLIE,FANG,9,0.666666667,hockey_below_zero
BEA,CARL,FRANK,9,0.333333333,hockey_below_zero
BEA,JANET,MAISIE,9,0.555555556,hockey_below_zero
JANET,POCO,STU,9,0.333333333,hockey_below_zero
BEA,GRIFF,MAX,9,0.888888889,hockey_below_zero
BELLE,LOU,MEEPLE,9,0.555555556,hockey_below_zero
GRAY,MELODIE,PIPER,9,0.555555556,hockey_below_zero
BEA,CHARLIE,HANK,9,0.888888889,hockey_below_zero
BUSTER,JANET,MAX,9,0.611111111,hockey_cool_box
BELLE,MAX,SAM,9,0.555555556,hockey_cool_box
GRAY,POCO,STU,9,0.888888889,hockey_cool_box
BELLE,MAISIE,STU,9,0.888888889,hockey_cool_box
BEA,GRAY,MANDY,9,0.555555556,hockey_cool_box
JANET,MR. P,STU,9,0.666666667,hockey_cool_box
MANDY,MAX,STU,9,0.722222222,hockey_cool_box
JANET,MAISIE,MELODIE,9,0.444444444,hockey_cool_box
BUSTER,GRAY,MEEPLE,9,0.888888889,hockey_cool_box
BELLE,MEEPLE,MR. P,9,0.277777778,hockey_cool_box
GRAY,MORTIS,STU,9,0.555555556,hockey_cool_box
FRANK,GRAY,STU,9,0.944444444,hockey_cool_box
BELLE,GRAY,SAM,9,0.277777778,hockey_cool_box
BEA,CARL,LOU,9,0.111111111,hockey_cool_box
MAISIE,OLLIE,STU,9,0.944444444,hockey_cool_box
COLETTE,MAX,STU,9,0.333333333,hockey_cool_box
HANK,LEON,MAX,9,0.888888889,hockey_cool_box
LOU,MELODIE,MR. P,9,0.555555556,hockey_cool_box
MAX,MORTIS,OLLIE,9,0.777777778,hockey_cool_box
BEA,BYRON,MEEPLE,9,0.666666667,hockey_cool_box
GRAY,JACKY,MEEPLE,9,0.444444444,hockey_cool_box
GRIFF,MEEPLE,MELODIE,9,0.333333333,hockey_cool_box
BELLE,LEON,MR. P,9,0.666666667,hockey_cool_box
GRIFF,MAX,MR. P,9,0.5,hockey_cool_box
AMBER,GRAY,MEEPLE,9,0.444444444,hockey_cool_box
CHESTER,JANET,MEEPLE,9,0.5,hockey_cool_box
CARL,FRANK,GRAY,9,0.444444444,hockey_cool_box
BELLE,FRANK,MEEPLE,9,0.666666667,hockey_cool_box
BEA,LOLA,MELODIE,9,0.444444444,hockey_cool_box
GRAY,GUS,LOU,9,0.444444444,hockey_cool_box
GRIFF,LOU,STU,9,0.555555556,hockey_cool_box
GENE,GRAY,MEEPLE,9,0.666666667,hockey_cool_box
BEA,GRAY,PENNY,9,0.444444444,hockey_cool_box
GRAY,MR. P,OLLIE,9,0.888888889,hockey_cool_box
CARL,GRAY,PIPER,9,0.111111111,hockey_cool_box
GRAY,MAX,SPIKE,9,0.611111111,hockey_cool_box
GUS,MELODIE,OLLIE,9,0.222222222,hockey_cool_box
FRANK,GRAY,MEEPLE,9,0.444444444,hockey_cool_box
COLETTE,MAX,MR. P,9,0.333333333,hockey_cool_box
BELLE,JANET,OLLIE,9,0.111111111,hockey_cool_box
LEON,MAX,PIPER,9,0.333333333,hockey_cool_box
CARL,JANET,LOU,9,0.444444444,hockey_cool_box
HANK,MR. P,POCO,9,0.333333333,hockey_cool_box
GRAY,MAISIE,MEEPLE,9,0.444444444,hockey_cool_box
MEEPLE,MELODIE,MR. P,9,0.444444444,hockey_cool_box
CHESTER,HANK,POCO,9,0.666666667,hockey_cool_box
GRAY,LEON,MORTIS,9,0.555555556,hockey_cool_box
FRANK,MAX,MORTIS,9,0.5,hockey_cool_box
FANG,MAX,STU,9,0.888888889,hockey_cool_box
CHESTER,MAX,POCO,9,0.111111111,hockey_cool_box
GRAY,HANK,SQUEAK,9,0.666666667,hockey_cool_box
CARL,GUS,MAX,9,0.666666667,hockey_cool_box
BEA,PIPER,STU,9,0.388888889,hockey_cool_box
GRAY,JACKY,MAX,9,0.555555556,hockey_cool_box
GRAY,MOE,STU,9,0.555555556,hockey_cool_box
FRANK,LOLA,POCO,9,0.555555556,hockey_cool_box
GRAY,LOU,MORTIS,9,0.111111111,hockey_cool_box
GUS,MELODIE,MR. P,9,0.444444444,hockey_cool_box
CARL,JANET,MELODIE,9,0.777777778,hockey_cool_box
FANG,GRAY,MR. P,9,0.333333333,hockey_cool_box
HANK,JANET,STU,9,0.555555556,hockey_cool_box
GENE,MAX,MEEPLE,9,0.555555556,hockey_cool_box
CARL,COLT,STU,9,0.388888889,hockey_cool_box
JANET,MAX,MORTIS,9,0.444444444,hockey_cool_box
BELLE,MEEPLE,MEG,9,0.333333333,hockey_cool_box
BELLE,GRAY,LOLA,9,0.333333333,hockey_cool_box
BEA,POCO,STU,9,0.5,hockey_cool_box
FANG,GRAY,LEON,9,0.888888889,hockey_cool_box
BUSTER,LOU,SAM,9,0.666666667,hockey_cool_box
BEA,JANET,PENNY,9,0.111111111,hockey_starr_garden
MELODIE,SPIKE,STU,9,0.555555556,hockey_starr_garden
EMZ,MOE,STU,9,0.333333333,hockey_starr_garden
BUSTER,MELODIE,MR. P,9,0.444444444,hockey_starr_garden
BEA,LEON,LOU,9,0.888888889,hockey_starr_garden
BEA,COLETTE,MEEPLE,9,0.333333333,hockey_starr_garden
COLETTE,MEEPLE,STU,9,0.555555556,hockey_starr_garden
CARL,GRAY,SQUEAK,9,0.555555556,hockey_starr_garden
BELLE,MELODIE,MR. P,9,0.444444444,hockey_starr_garden
